"tseq","nc.a.1","nc.a.2","nc.a.3","nc.a.4","nc.a.5","nc.a.6","nc.a.7","nc.a.8","nc.a.9"
2015-08-21,290.399993896484,287.349975585938,281.299987792969,271.5,264.199981689453,255.099990844727,243.924987792969,228.5,222.849990844727
2015-08-22,289.375,286.399993896484,280.799987792969,271.974975585938,265.924987792969,256.600006103516,245.324981689453,229.124984741211,220.275009155273
2015-08-23,286.024993896484,281.949981689453,277.274993896484,270.25,264.275024414062,255.824981689453,244.625,231.074981689453,224.974990844727
2015-08-24,285.699951171875,281.274993896484,277.824981689453,271.899993896484,265.724975585938,257.924987792969,247,230.449981689453,222.350006103516
2015-08-25,288.899993896484,286.325012207031,283.849975585938,273.774993896484,266.299987792969,257.599975585938,246.25,230.649993896484,220.424987792969
2015-08-26,292.674987792969,290.049987792969,285.5,275.575012207031,266.5,257.599975585938,246.124984741211,229.849990844727,219.250015258789
2015-08-27,292.100006103516,288.5,282.349975585938,273.024993896484,264.449981689453,254.374969482422,243.5,229.449996948242,220.225006103516
2015-08-28,293.575012207031,291.375,284.575012207031,272.75,265.375,256.574981689453,245.999984741211,230.499984741211,220.024993896484
2015-08-29,295.125,293.949981689453,290.024993896484,277.474975585938,270.074981689453,261.174987792969,249.624984741211,233.949996948242,223.149978637695
2015-08-30,294.325012207031,291.024963378906,288.299987792969,280.049987792969,271.475006103516,262.549987792969,251.899993896484,236.574981689453,225.099990844727
2015-08-31,295.125,291.799987792969,288.850006103516,277.924987792969,270.124969482422,261.224975585938,249.649978637695,233.874984741211,224.050003051758
